"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","Selling Agent ID","LSC List Side","List Office Primary Board ID"
"1","G5041458","SLD","5802 EMPIRE CHURCH RD","GROVELAND","34736","GROVELAND FARMS #27 37 & 38","1,247","$825,000","2","2","0","2015","None","Single Family Residence","$8,305.29","177","177","178","Conventional","02/11/2022","$661.59","$661.59","1.00","FORTUNE REALTY OF CLERMONT","Ranji Seepersaud, PA","260505126","55055","123456789","Lake and Sumter","Lake and Sumter"
"1","G5047311","SLD","18328 GREAT BLUE HERON DR","GROVELAND","34736","GREAT BLUE HERON ESTATES","3,388","$830,000","5","2","1","2017","Private","Single Family Residence","$5,025.46","107","107","107","Conventional","02/28/2022","$258.26","$244.98","0.95","BONJORN REAL ESTATE","Pamela Bonjorn","260516463","260505076","260562593","Lake and Sumter","Lake and Sumter"
"1","O6017847","SLD","5651 CUTTING HORSE WAY","GROVELAND","34736","RANCH CLUB SUB","3,012","$840,000","4","4","1","2021","None","Single Family Residence","$1,389.00","2","2","2","Conventional","05/20/2022","$248.67","$278.88","1.12","COLDWELL BANKER REALTY","Amy Smith","261224842","260520233","260503733","Orlando Regional","Orlando Regional"
"1","G5041113","SLD","11540 MATTIODA RD","GROVELAND","34736","GROVELAND FARMS 02-23-24","4,088","$842,000","3","4","0","2004","Private","Single Family Residence","$5,533.65","327","327","329","Conventional","05/10/2022","$223.83","$205.97","0.92","FORTUNE REALTY OF CLERMONT","Ranji Seepersaud, PA","260505126","260502884","260502470","Lake and Sumter","Lake and Sumter"
"1","S5059120","SLD","8507 STATE ROAD 33","GROVELAND","34736","GROVELAND FARMS 20-23-25","2,093","$850,000","4","2","1","2009","None","Single Family Residence","$4,434.73","65","65","65","Conventional","04/07/2022","$453.89","$406.12","0.89","KELLER WILLIAMS ADVANTAGE III","Jackie Millan","261207822","50344","260504246","Osceola","Orlando Regional"
"1","O5955578","SLD","8040 CHERRY LAKE RD","GROVELAND","34736","SEYBOLD ON CHERRY LAKE","3,239","$880,000","4","3","0","1993","None","Single Family Residence","$5,812.80","178","178","179","Conventional","02/28/2022","$339.30","$271.69","0.80","HYLAND REALTY LLC","Lynn Henderson","260565390","261013480","260565390","Orlando Regional","Orlando Regional"
"1","O5996324","SLD","3311 CLEAR WATER WAY","GROVELAND","34736","CLEARWATER RESERVE","3,220","$900,000","5","4","0","2020","None","Single Family Residence","$6,188.22","7","7","28","VA","03/25/2022","$279.50","$279.5","1.00","KELLER WILLIAMS CLASSIC","John Cunningham","261207397","261016427","261227314","Orlando Regional","Orlando Regional"
"1","G5054664","SLD","5910 LAKE EMMA CT","GROVELAND","34736","LAKE EMMA ESTATES","3,516","$980,000","4","3","0","1992","Private","Single Family Residence","$4,846.06","14","14","15","Cash","05/25/2022","$312.86","$278.73","0.89","RE/MAX TITANIUM GROUP","Melissa Becorest","260504279","50215","260504404","Lake and Sumter","Lake and Sumter"
"1","O5957621","SLD","6630 LAKE EMMA RD","GROVELAND","34736","VILLA CITY SUBDIVISION","4,864","$1,200,000","3","3","0","1989","Private","Single Family Residence","$8,882.79","143","143","220","Cash","03/18/2022","$318.67","$246.71","0.77","RE/MAX 200 REALTY","Brian Mitnik","261216086","52403","261216086","Orlando Regional","Orlando Regional"
"1","G5055051","SLD","18801 RANCH CLUB BLVD","GROVELAND","34736","RANCH CLUB SUB","4,786","$1,245,000","6","4","1","2015","Private","Single Family Residence","$9,103.00","15","15","15","Conventional","06/10/2022","$266.40","$260.13","0.98","TRINITY REAL ESTATE SALES LLC","Terri Kuebbeler","260565393","639501","261551822","Lake and Sumter","Lake and Sumter"
"1","G5053804","SLD","7100 REDWING RD","GROVELAND","34736","GROVELAND FARMS 32-22-25","2,746","$1,300,000","3","2","1","1994","Private","Single Family Residence","$4,643.52","16","16","16","Conventional","05/20/2022","$482.52","$473.42","0.98","COLDWELL BANKER TONY HUBBARD","Dana Vander Meer","260503292","52365","261208423","Lake and Sumter","Lake and Sumter"
"1","O6007130","SLD","18500 WATER CREST CT","GROVELAND","34736","LAKES LU-EMMA LT 01","4,885","$1,580,000","5","3","0","2016","Private","Single Family Residence","$9,972.14","0","0","0","Conventional","04/21/2022","$348.00","$323.44","0.93","ALL REAL ESTATE & INVESTMENTS","Patti-Jo Jungreis","260501477","261011384","260501477","Orlando Regional","Orlando Regional"
